precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 1.350.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,119 m²,"Apartamento en arriendo en diego echavarria, medellín"
$ 6.700.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,62 m²,"Apartamento en arriendo en san lucas, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,71 m²,"Apartamento en arriendo en las palmas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en san diego, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,62 m²,"Apartamento en arriendo en calasanz, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,41.4 m²,Apartamento en arriendo en medellín
$ 2.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",4 Habs. ,2 Baños,130 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.690.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en la candelaria, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en urbanizacion quintas del sol de la mota, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belen malibu, medellín"
$ 4.990.000,"Casa en Medellín, Antioquia",6 Habs. ,5 Baños,210 m²,"Casa en arriendo en san joaquin, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en ciudad del río, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,53 m²,"Apartamento en arriendo en centro, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 6.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,168 m²,"Apartamento en arriendo en el poblado, medellín"
$ 7.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,94 m²,"Apartamento en arriendo en el poblado, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en belén, medellín"
$ 5.800.000,"Casa en Medellín, Antioquia",6 Habs. ,4 Baños,320 m²,"Casa en arriendo en suramericana, medellín"
$ 2.050.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,58 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,51 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en calasanz, medellín"
$ 3.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,101 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en guayaquil, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en pajarito, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,96 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.350.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.980.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en belén, medellín"
$ 1.200.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Casa en arriendo en manrique, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en las palmas, medellín"
$ 7.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,139 m²,Apartamento en arriendo en medellín
$ 1.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en calasanz parte alta, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,43 m²,"Apartamento en arriendo en la milagrosa, medellín"
$ 4.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en castropol, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,62 m²,"Apartamento en arriendo en loma de san julian, medellín"
$ 4.500.000,"Casa en Medellín, Antioquia",3 Habs. ,3 Baños,170 m²,"Casa en arriendo en belén aliadas, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en la frontera, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,124 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,110 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en las palmas, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en ciudad del río, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,88 m²,"Apartamento en arriendo en zuñiga, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,124 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,110 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en las palmas, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en el velodromo, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,64 m²,"Apartamento en arriendo en belén, medellín"
$ 8.500.000,"Casa en Medellín, Antioquia",4 Habs. ,5 Baños,242 m²,"Casa en arriendo en las palmas, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en pajarito, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 1.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,56 m²,"Apartamento en arriendo en calasanz, medellín"
$ 1.450.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,45 m²,Apartamento en arriendo en medellín
$ 5.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,94 m²,"Apartamento en arriendo en castropol, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en el poblado, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,94 m²,"Apartamento en arriendo en oviedo, medellín"
$ 1.850.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en belen las playas, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en castropol, medellín"
$ 1.850.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,56 m²,"Apartamento en arriendo en calasanz, medellín"
$ 28.000.000,"Casa en Medellín, Antioquia",3 Habs. ,4 Baños,450 m²,"Casa en arriendo en el poblado, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,88 m²,"Apartamento en arriendo en zuñiga, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,35 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en laureles, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,160 m²,"Apartamento en arriendo en laureles, medellín"
$ 4.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,114 m²,"Apartamento en arriendo en castropol, medellín"
$ 6.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,117 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.500.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,200 m²,"Casa en arriendo en conquistadores, medellín"
$ 8.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,5 Baños,165 m²,"Apartamento en arriendo en montessori, medellín"
$ 5.900.000,"Casa en Medellín, Antioquia",5 Habs. ,3 Baños,200 m²,"Casa en arriendo en laureles, medellín"
$ 2.550.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,Apartamento en arriendo en medellín
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,130 m²,"Apartamento en arriendo en santa fe, medellín"
$ 6.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en altos del poblado, medellín"
$ 780.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en manrique, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 11.000.000,"Casa en Medellín, Antioquia",3 Habs. ,4 Baños,240 m²,"Casa en arriendo en el tesoro, medellín"
$ 780.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en manrique, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en sevilla, medellín"
$ 2.080.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,50 m²,Apartamento en arriendo en medellín
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,116 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en la castellana, medellín"
$ 9.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,175 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en robledo, medellín"
$ 5.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,130 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 3.580.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,71 m²,"Apartamento en arriendo en las palmas, medellín"
