precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 1.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,60 m²,"Apartamento en arriendo en villa hermosa, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,65 m²,"Apartamento en arriendo en san diego, medellín"
$ 1.650.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en san javier, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,85 m²,"Apartamento en arriendo en belén los alpes, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,59 m²,"Apartamento en arriendo en los colores, medellín"
$ 3.200.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,140 m²,"Casa en arriendo en cabañitas, medellín"
$ 4.003.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,120 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 23.500.000,"Casa en Medellín, Antioquia",19 Habs. ,5 Baños,520 m²,Casa en arriendo en medellín
$ 4.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,150 m²,Apartamento en arriendo en medellín
$ 7.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,5 Baños,198 m²,"Apartamento en arriendo en conquistadores, medellín"
$ 1.850.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,60 m²,"Apartamento en arriendo en robledo, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,63 m²,"Apartamento en arriendo en la pilarica, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en robledo, medellín"
$ 4.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,115 m²,"Apartamento en arriendo en conquistadores, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en robledo, medellín"
$ 11.700.000,"Casa en Medellín, Antioquia",3 Habs. ,5 Baños,170 m²,Casa en arriendo en medellín
$ 12.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,228 m²,"Apartamento en arriendo en el tesoro, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en laureles, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,56 m²,"Apartamento en arriendo en calasanz, medellín"
